id,the_geom,city,latitude,longitude,invalid_the_geom,storenumber,storetype,cartodb_id,state,zip,playplace,drivethru,archcard,freewifi,storeurl,cartodb_georef_status,COUNTY,Grocery_2009,Convenience_2009,Fast_Food_Restaurants_2009,Adult_Diabetes_p_2009,Adult_Obsesity_p_2009,Median_Household_Income_2009,Limited_Access_Populationp_2009,Limited_Access_Population_2009,Population_2009,Grocery_2014,Convenience_2014,Fast_Food_Restaurants_2014,Adult_Diabetes_2014,Adult_Obesity_2014,Median_Household_Income_2014,Limited_Access_p_2014,Limited_Access_2014,Population_2014,FF_per_capita_2009,FF_per_capita_2014,p_change_FF_Per_Capita,Grocery_per_capita_2009,Grocery_per_capita_2014,p_change_in_grocery_per_capita,p_change_in_Access,p_Change_in_Obesity,p_change_in_income
10826,0101000020E61000003FFED2A23EB853C02F505260017A4540,BUFFALO,42.953167,-78.878823,Point,18869,FREESTANDING,1638,NY,14216,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/18869,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10827,0101000020E6100000643F8BA548B253C0C76471FF91794540,BUFFALO,42.949768,-78.785684,Point,5068,FREESTANDING,1612,NY,14215,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/5068,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10828,0101000020E6100000E2067C7E18B553C0984D8061F9754540,BUFFALO,42.921673,-78.82962,Point,4039,FREESTANDING,1607,NY,14215,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/4039,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10829,0101000020E6100000554D10751FB953C0F52A323A20754540,BUFFALO,42.915046,-78.892545,Point,6277,FREESTANDING,1641,NY,14213,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/6277,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10830,0101000020E61000002D228AC91BB453C086713788D6744540,BUFFALO,42.912797,-78.814196,Point,5422,FREESTANDING,1610,NY,14211,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/5422,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10831,0101000020E610000008E6E8F17BB753C03CD9CD8C7E744540,BUFFALO,42.910112,-78.86694,Point,816,FREESTANDING,1632,NY,14209,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/816,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10832,0101000020E6100000535DC0CB0CBA53C0E35295B6B8784540,BUFFALO,42.943137,-78.907031,Point,3782,FREESTANDING,1643,NY,14207,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3782,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10833,0101000020E610000015ADDC0BCCB253C0168733BF9A6F4540,CHEEKTOWAGA,42.87191,-78.793704,Point,1274,FREESTANDING,1616,NY,14206,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/1274,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10834,0101000020E6100000BF45274BADB653C02D5F97E13F714540,BUFFALO,42.884762,-78.854327,Point,21463,FREESTANDING,1639,NY,14204,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/21463,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
10835,0101000020E61000003C50A73CBAB853C0BA2EFCE07C724540,BUFFALO,42.894436,-78.886367,Point,4836,FREESTANDING,1634,NY,14201,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/4836,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
