id,the_geom,city,latitude,longitude,invalid_the_geom,storenumber,storetype,cartodb_id,state,zip,playplace,drivethru,archcard,freewifi,storeurl,cartodb_georef_status,COUNTY,Grocery_2009,Convenience_2009,Fast_Food_Restaurants_2009,Adult_Diabetes_p_2009,Adult_Obsesity_p_2009,Median_Household_Income_2009,Limited_Access_Populationp_2009,Limited_Access_Population_2009,Population_2009,Grocery_2014,Convenience_2014,Fast_Food_Restaurants_2014,Adult_Diabetes_2014,Adult_Obesity_2014,Median_Household_Income_2014,Limited_Access_p_2014,Limited_Access_2014,Population_2014,FF_per_capita_2009,FF_per_capita_2014,p_change_FF_Per_Capita,Grocery_per_capita_2009,Grocery_per_capita_2014,p_change_in_grocery_per_capita,p_change_in_Access,p_Change_in_Obesity,p_change_in_income
10789,0101000020E61000009CC420B0723453C0A87004A914574540,OVID,42.680318,-76.8195,Point,25738,GAS STATION,1520,NY,14521,FALSE,TRUE,TRUE,FALSE,http://www.mcnewyork.com/25738,TRUE,Seneca,8,15,19,9,31.1,45961,5,1639,35251,7,20,20,8.9,28.9,49813,15,5344,34904,0.000538992,0.00057,6.31,0.000226944,0.00020055,-11.63,200,-7.07,8.38
10790,0101000020E61000003BE2900DA45453C00307B474059D4540,ONTARIO,43.226729,-77.322513,Point,20276,FREESTANDING,1582,NY,14519,FALSE,TRUE,TRUE,FALSE,http://www.mcnewyork.com/20276,TRUE,Wayne,4,24,26,10,32.3,36562,28,8513,30099,2,25,21,13.1,31.8,41466,29,8633,29972,0.000863816,0.0007,-18.89,0.000132895,0.0000667,-49.79,3.57,-1.55,13.41
10791,0101000020E6100000CC5D4BC8074753C0E31A9FC9FE854540,NEWARK,43.046838,-77.10985,Point,3521,FREESTANDING,1548,NY,14513,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3521,TRUE,Wayne,4,24,26,10,32.3,36562,28,8513,30099,2,25,21,13.1,31.8,41466,29,8633,29972,0.000863816,0.0007,-18.89,0.000132895,0.0000667,-49.79,3.57,-1.55,13.41
10792,0101000020E6100000F6D1A92B9F7753C041498105305D4540,MT. MORRIS,42.728028,-77.86909,Point,17753,FREESTANDING,1627,NY,14510,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/17753,TRUE,Livingston,11,22,22,9.4,29.2,51427,9,3338,38950,8,28,20,9.5,29.2,55474,8,3290,37116,0.000564827,0.00054,-4.6,0.000282413,0.00021554,-23.68,-11.11,0,7.87
10793,0101000020E6100000BABC395CAB4E53C077F35487DC7C4540,MANCHESTER,42.97548,-77.229209,Point,18842,FREESTANDING,1543,NY,14504,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/18842,TRUE,Ontario,19,41,83,8.9,26.5,53137,14,14931,107931,19,45,87,7.6,29.4,58085,17,18409,109684,0.00076901,0.00079,3.14,0.000176038,0.00017323,-1.6,21.43,10.94,9.31
10794,0101000020E6100000DD79E2395B5453C0645C717154884540,MACEDON,43.065077,-77.318068,Point,33486,GAS STATION,1584,NY,14502,FALSE,TRUE,TRUE,FALSE,http://www.mcnewyork.com/33486,TRUE,Wayne,4,24,26,10,32.3,36562,28,8513,30099,2,25,21,13.1,31.8,41466,29,8633,29972,0.000863816,0.0007,-18.89,0.000132895,0.0000667,-49.79,3.57,-1.55,13.41
10795,0101000020E61000005E6743FE993F53C0EA5DBC1FB7874540,LYONS,43.060276,-76.993774,Point,7610,FREESTANDING,1536,NY,14489,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/7610,TRUE,Wayne,4,24,26,10,32.3,36562,28,8513,30099,2,25,21,13.1,31.8,41466,29,8633,29972,0.000863816,0.0007,-18.89,0.000132895,0.0000667,-49.79,3.57,-1.55,13.41
10796,0101000020E610000036CB65A3737F53C0BB0F406A137D4540,LE ROY,42.977155,-77.991433,Point,6439,FREESTANDING,1629,NY,14482,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/6439,TRUE,Genesee,103,189,266,11.6,36.1,39271,30,127082,425790,84,196,295,12.2,33,44181,32,134364,412813,0.000624721,0.00071,14.39,0.000241903,0.00020348,-15.88,6.67,-8.59,12.5
10797,0101000020E610000044C2F7FE067A53C0601F9DBAF2834540,LE ROY,43.030845,-77.906677,Point,12299,TOLLWAY,1625,NY,14482,FALSE,TRUE,TRUE,FALSE,http://www.mcnewyork.com/12299,TRUE,Genesee,103,189,266,11.6,36.1,39271,30,127082,425790,84,196,295,12.2,33,44181,32,134364,412813,0.000624721,0.00071,14.39,0.000241903,0.00020348,-15.88,6.67,-8.59,12.5
10798,0101000020E6100000E816BA12816C53C0AC3B16DBA46A4540,LAKEVILLE,42.833156,-77.695378,Point,18476,FREESTANDING,1652,NY,14480,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/18476,TRUE,Livingston,11,22,22,9.4,29.2,51427,9,3338,38950,8,28,20,9.5,29.2,55474,8,3290,37116,0.000564827,0.00054,-4.6,0.000282413,0.00021554,-23.68,-11.11,0,7.87
10799,0101000020E61000003352EFA99C7253C02BA226FA7CA44540,HILTON,43.285064,-77.790812,Point,12207,FREESTANDING,1675,NY,14468,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/12207,TRUE,Monroe,7,15,10,13.8,35.5,31744,31,7149,23068,6,15,9,17.8,35.3,35163,25,5712,21902,0.000433501,0.00041,-5.21,0.000303451,0.00027395,-9.72,-19.35,-0.56,10.77
10800,0101000020E610000068EA758BC06953C0772CB64945874540,HENRIETTA,43.056802,-77.652377,Point,3090,FREESTANDING,1654,NY,14467,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3090,TRUE,Monroe,7,15,10,13.8,35.5,31744,31,7149,23068,6,15,9,17.8,35.3,35163,25,5712,21902,0.000433501,0.00041,-5.21,0.000303451,0.00027395,-9.72,-19.35,-0.56,10.77
10801,0101000020E61000006B8313D1AF3F53C0C89750C1E16D4540,GENEVA,42.858452,-76.995106,Point,33555,FREESTANDING,1538,NY,14456,FALSE,TRUE,TRUE,TRUE,,TRUE,Ontario,19,41,83,8.9,26.5,53137,14,14931,107931,19,45,87,7.6,29.4,58085,17,18409,109684,0.00076901,0.00079,3.14,0.000176038,0.00017323,-1.6,21.43,10.94,9.31
10802,0101000020E6100000D2A6EA1ED97253C0E355D636C5654540,GENESEO,42.795081,-77.794502,Point,3204,FREESTANDING,1628,NY,14454,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3204,TRUE,Livingston,11,22,22,9.4,29.2,51427,9,3338,38950,8,28,20,9.5,29.2,55474,8,3290,37116,0.000564827,0.00054,-4.6,0.000282413,0.00021554,-23.68,-11.11,0,7.87
10803,0101000020E6100000068200193A5C53C0F4FDD478E9884540,PERINTON,43.069625,-77.441046,Point,10413,FREESTANDING,1586,NY,14450,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/10413,FALSE,Monroe,7,15,10,13.8,35.5,31744,31,7149,23068,6,15,9,17.8,35.3,35163,25,5712,21902,0.000433501,0.00041,-5.21,0.000303451,0.00027395,-9.72,-19.35,-0.56,10.77
10804,0101000020E6100000EA094B3CA06D53C08D5DA27A6B484540,DANSVILLE,42.56578,-77.712905,Point,3962,FREESTANDING,1661,NY,14437,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3962,TRUE,Livingston,11,22,22,9.4,29.2,51427,9,3338,38950,8,28,20,9.5,29.2,55474,8,3290,37116,0.000564827,0.00054,-4.6,0.000282413,0.00021554,-23.68,-11.11,0,7.87
10805,0101000020E610000063B83A00E25653C0F4A62215C67C4540,FARMINGTON,42.974795,-77.357544,Point,7066,FREESTANDING,1583,NY,14425,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/7066,TRUE,Ontario,19,41,83,8.9,26.5,53137,14,14931,107931,19,45,87,7.6,29.4,58085,17,18409,109684,0.00076901,0.00079,3.14,0.000176038,0.00017323,-1.6,21.43,10.94,9.31
10806,0101000020E61000001C08C902265153C0F433F5BA45704540,CANANDAIGUA,42.877128,-77.267945,Point,2368,FREESTANDING,1545,NY,14424,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/2368,TRUE,Ontario,19,41,83,8.9,26.5,53137,14,14931,107931,19,45,87,7.6,29.4,58085,17,18409,109684,0.00076901,0.00079,3.14,0.000176038,0.00017323,-1.6,21.43,10.94,9.31
10807,0101000020E6100000DB899290487C53C0A9C0C93670994540,BROCKPORT,43.198737,-77.941929,Point,1708,FREESTANDING,1630,NY,14420,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/1708,TRUE,Monroe,7,15,10,13.8,35.5,31744,31,7149,23068,6,15,9,17.8,35.3,35163,25,5712,21902,0.000433501,0.00041,-5.21,0.000303451,0.00027395,-9.72,-19.35,-0.56,10.77
10808,0101000020E61000002AE44A3D0B6F53C0615111A793744540,AVON,42.910756,-77.735061,Point,13405,FREESTANDING,1656,NY,14414,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/13405,TRUE,Livingston,11,22,22,9.4,29.2,51427,9,3338,38950,8,28,20,9.5,29.2,55474,8,3290,37116,0.000564827,0.00054,-4.6,0.000282413,0.00021554,-23.68,-11.11,0,7.87
10809,0101000020E6100000320400C79E8C53C0E97DE36BCF9E4540,ALBION,43.240705,-78.197191,Point,4966,FREESTANDING,1624,NY,14411,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/4966,TRUE,Orleans,137,125,247,12,29.9,36525,25,87617,343829,148,134,303,11.9,31.9,38640,17,57760,384355,0.00071838,0.00079,9.74,0.000398454,0.00038506,-3.36,-32,6.69,5.79
10810,0101000020E61000004EEE77280ABE53C0B9FDF2C98A8B4540,NIAGARA FALLS,43.090173,-78.96937,Point,337,FREESTANDING,1649,NY,14304,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/337,TRUE,Niagara,32,80,139,9.3,28.7,44006,22,48276,216469,32,84,134,9.5,30.4,48517,18,37906,213484,0.000642124,0.00063,-2.25,0.000147827,0.00014989,1.4,-18.18,5.92,10.25
10811,0101000020E61000003656629E95C253C0276BD443348C4540,NIAGARA FALLS,43.095345,-79.040382,Point,4447,FREESTANDING,1647,NY,14301,FALSE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/4447,TRUE,Niagara,32,80,139,9.3,28.7,44006,22,48276,216469,32,84,134,9.5,30.4,48517,18,37906,213484,0.000642124,0.00063,-2.25,0.000147827,0.00014989,1.4,-18.18,5.92,10.25
10812,0101000020E610000046990D32C9B453C0BE13B35E0C854540,AMHERST,43.03944,-78.82478,Point,3421,FREESTANDING,1611,NY,14228,TRUE,TRUE,TRUE,TRUE,http://www.mcnewyork.com/3421,TRUE,Erie,234,327,691,10.3,28.6,46773,26,238054,919040,303,358,770,9.4,26.7,52176,21,192724,923702,0.000751872,0.00083,10.87,0.000254614,0.00032803,28.83,-19.23,-6.64,11.55
